date	training	race	intensity	minutes	feeling	remark
180903	styrke	0	H	60	3	-
180906	ol	0	M	45	3	korridor rosjo good first half, tired second
180908	ol	1	H	35	3	Gustavsberg OM8 8m/km very few mistakes (diffuse)
180909	run	0	L	30	3	Inskolning skugga 2km
180916	styrke	0	H	60	2	-
180918	run	0	L	30	3	work
180920	run	0	L	60	3	nacka
180922	ol	0	L	45	3	old jarlatraining
180923	ol	1	H	45	2	stafett DM, bad run and tired after half of 6km
180925	run	0	L	45	3	-
181001	styrke	0	H	60	2	-
181002	run	0	L	30	3	-
181006	ol	1	H	50	1	25manna open8, many mistakes :(
181007	ol	1	H	40	3	25mannamedeln open8, 4min mistake total but a lot of good controls
181009	styrke	0	H	60	2	-
181011	run	0	L	45	2	-
181101	run	0	L	75	2	Centrum long run
181104	ol	1	L	135	3	hostlunken
181106	styrke	0	H	60	3	-
181112	ol	0	L	45	2	-
181114	ol	1	H	60	2	MSBN1 pretty good, Mortsjon, tough and hard OL. Tired at the end!
181115	run	0	L	90	2	Centrum long run
181117	run	0	L	45	2	-
181118	styrke	0	H	60	3	-
181126	ol	0	L	60	2	Small run to warm up, bad technically
181128	ol	1	H	60	3	Nattugglan 1 Lida, 10s behind Linus. Tough hilly terrain. Ear problem after
181202	ol	1	L	100	3	UltraKM attunda open class
181210	styrke	0	H	45	1	-
181212	ol	1	H	45	2	MSBN2 lot of following and paths
181213	run	0	L	90	2	Slow long run w Centrum
181217	styrke	0	H	60	2	-
181219	run	0	L	45	3	-
181227	run	0	L	45	2	-
181231	run	0	L	45	1	-
190108	run	0	H	45	3	-
190112	run	0	L	45	3	-
190113	ol	1	L	75	2	vinterserien kallbrink, nice feeling, bad time and 4.45m mistake
190115	styrke	0	H	45	2	-
190122	run	0	M	45	2	-
190123	ol	1	H	80	1	vinternattcup sollentuna. 5 bigger mistakes >2min. ok running though
190126	ol	0	M	60	2	Vinterserien testrun. Very sprinty, hard to keep track of 4000-map
190127	styrke	0	H	45	2	-
190131	run	0	M	45	2	-
190203	styrke	0	H	60	2	-
190209	ol	0	L	75	2	bad start but better feeling in end. Need training. Got reminded PLAN is everythign in OL
190213	ol	0	L	45	2	Not bad, took it easy and then it works. Plan, slow running, concentrate
190215	styrke	0	H	60	2	-
190219	ol	0	L	45	1	Look ahead, compass in detailed and diffuse terrain. Lots of mistakes
190220	ol	1	H	60	2	Some good orientering, some bad, and very tired legs in end. Hilly, gommaren
